id,nummer_alt,nummer_neu,aufstellungsort,brunnenart,bauart,epsg31255_x,epsg31255_y,lon,lat,in_betrieb,trinkwasser,wasseranalyse,steuerung,elektrik,pumpe,beleuchtung,wassermenge_sammelbecken,lage_brunnentechnik,lage_wasserzaehler,wasserzaehler_epsg31255_x,wasserzaehler_epsg31255_y,wasserzaehler_lon,wasserzaehler_lat,lage_e_schaltschrank,lage_stromzaehler,bemerkung,betriebszeit,frostschutz_wasserzaehler_ausgebaut
brunnen_tb74,,TB74,Hauptplatz südliche Grüninsel,Trinkbrunnen,Auslauf,70789.954,352343.128,14.28678871,48.30538479,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht ca. 4 m nördlich vom Brunnen,LinzAG Zähler in der Tiefgarage Hauptplatz 1. UG bei Stellplatz ... Subzähler für Brunnen im Schacht neben Brunnen,,,,,keine,keine,Achtung! Linz AG Zähler in der TG ist auf OberaignerKG angemeldet. Die Verrechnung für den Wasser verbrauch Brunnen erfolgt von Oberaigner KG mit den SGL,keine Angabe,
brunnen_tb75,,TB75,Grünmarkt Urfahr,Trinkbrunnen,Auslauf,70341.29,352994.17,14.28084962,48.31128868,true,true,true,Druckknopf,keine,keine,keine,keine,Absperrung in der Holzbank neben dem Brunnen Entleerung im Schacht neben dem Brunnen,Wasserzähler im Technikraum westlicher Kioskbereich,70342.61,352992.97,14.28086721,48.31127774,keine,keine,ACHTUNG! Über den WAsserzähler werden auch Bewässerungshydranten der SGL und Anschlüsse für Kioske versorgt. Hydranten müssen von den SGL betreut werden. Begleitheizung für Kioske - WSL,keine Angabe,
brunnen_tb76,,TB76,Bauernberg Spielplatz oberhalb der Liegewiese,Trinkbrunnen,Ziehbrunnen,70269.395,351159.529,14.27957641,48.29479983,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht neben Brunnen,Gehweg Parkeingang gegenüber Auf der Gugl 16,70249.568,351276.626,14.27932862,48.29585494,keine,keine,Brunnen wurde im Herbst 2012von den SGL neu errichtet,keine Angabe,
brunnen_tb77,,TB77,Volksgarten Wasserspielplatz,Trinkbrunnen,Bogenauslauf mit Sensor,71155.68,351203.57,14.29152675,48.29509724,true,true,true,Sensor 9V Batterie,ja,keine,keine,keine,Schacht ca. 10 m östlich vom Brunnen,Wasserzähler für den gesamten Volksgarten nördlicher Parkeingang bei WC Anlage (mittlerer von 3 Schächten),71153.062,351217.731,14.29149384,48.29522486,keine,keine,Elektronik im Bogenauslauf eingebaut 9V Batterie,keine Angabe,
brunnen_tb78,,TB78,Garten für Alle Ottensheimerstr.,Nutzwasser brunnen,?,,,,,true,false,false,Schwengel brunnen,keine,keine,keine,keine,keine,Grundwasser brunnen,,,,,keine,keine,,,
brunnen_tb79,,TB79,Steinmetzplatzl bei WC-Anlage Ottensheimerstr.,Trinkbrunnen,Dusche und Auslauf,70216.424,352623.645,14.27910507,48.30797079,true,true,true,Druckknopf und Absperrhahn,keine,keine,keine,keine,Im Wasserzähler schacht,Schacht ca. 6m südlich vom Brunnen,70217.014,352617.013,14.27911193,48.30791109,keine,keine,,keine Angabe,
brunnen_tb80,,TB80,Skaterplatz Ecke Lastenstr./ Grestenbergerstr.,Trinkbrunnen,Auslauf,72256.842,351190.201,14.30636298,48.29485279,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Schacht neben Brunnen,72256.306,351191.082,14.30635591,48.29486077,keine,keine,,keine Angabe,
brunnen_tb81,,TB81,Basketballfeld Südende Grestenbergerstr.,Trinkbrunnen,Auslauf,72550.319,350863.494,14.31026176,48.29188168,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Schacht neben Brunnen,72550.999,350865.891,14.31027134,48.29190316,keine,keine,,keine Angabe,
brunnen_tb82,,TB82,Park Hessenplatz Kiosk-Gebäude,Trinkbrunnen,Auslauf,71326.18,351835.41,14.29393057,48.30075952,true,true,true,Druckknopf,keine,keine,keine,keine,UG ehemaliges Damen WC,Schlüssel für Zugang Wasserabserrung bei Fr. Ing. Kluczyk GMT,,,,,keine,keine,,keine Angabe,
brunnen_tb83,,TB83,Hundefreilaufzone Blumau,Trinkbrunnen,Auslauf,71431.128,351232.715,14.29524342,48.29532841,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Schacht neben Brunnen,71431.252,351233.584,14.29524523,48.29533621,keine,keine,,keine Angabe,
brunnen_tb84,,TB84,Hundefreilaufzone Ing. Stern Str.,Trinkbrunnen,Auslauf,73040,351446.72,14.31696038,48.29706983,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Technikraum Keller Kinderfreibad Wimhölzlstr. Sub-Zähler,73050,351408,14.31708847,48.29672052,,,,,
brunnen_tb85,,TB85,Heilhammerweg neben WC Container,Trinkwasser,Dusche und Auslauf,71277.29,353833.933,14.29360784,48.31873531,true,true,true,Druckknopf und Absperrhahn,keine,keine,keine,keine,Schacht im Beh. WC,Schacht vor dem Würstelstand,71260.582,353831.521,14.29338218,48.31871550,keine,keine,,keine Angabe,
brunnen_tb86,,TB86,A7 Überplattung Bindermichl Rampe Lissfeld,Trinkwasser,Auslauf,71557.64,348161.451,14.29643040,48.26769788,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Am Überplattungs Ring,71558.039,348163.282,14.29643608,48.26771430,keine,keine,,keine Angabe,
