id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_e780fbad44c8ca342087,"Amt der OÖ Landesregierung, Abteilung GBM, Kultuzentrum Hof",Ludlgasse 16,4020,Linz,Lifepak CR2 USB,"Kulturzentrum Hof, Eingangsbereich Veranstaltungssaal",48.31213000000000,14.30083000000000,48.31213000000000,14.30083000000000,plausibel
defi_e708c4267e34fa1a1d39,MCE GmbH,Lunzerstraße 64,4031,Linz,Lifepak CR+,"BG 63, 6. OG - Teeküche",48.26459300000000,14.34182500000000,48.26459300000000,14.34182500000000,plausibel
defi_6b43f226ad62081c2524,VACE Systemtechnik GmbH,Lunzerstraße 64,4030,Linz,Lifepak CR2 WLAN,"BG 63, 1. Stock",48.26439200000000,14.34191200000000,48.26439200000000,14.34191200000000,plausibel
defi_6c24e60e4a58258981b6,Linz AG,Lunzerstraße 90,4020,Linz,Lifepak CR+,Fernheizkraftwerk Süd,48.26786600000000,14.34590000000000,48.26786600000000,14.34590000000000,plausibel
defi_29d599013a6601b50e14,Blinden- und Sehbehindertenverband Oberösterreich,Makartstraße 11,4020,Linz,Lifepak CR2 WLAN,,,,,,fehlt
defi_29d599013a6601b50e14_2,Blinden- und Sehbehindertenverband Oberösterreich,Makartstraße 11,4020,Linz,Lifepak CR2 WLAN,,,,,,fehlt
defi_8bc9e00c80a13775ebfe,Berufsschule Linz 3,Makartstraße 3,4020,Linz,Fred Easy,Sekretariat,48.28906700000000,14.30211700000000,48.28906700000000,14.30211700000000,plausibel
defi_e85df8b6cfbe8978f220,Uniqa Insurance Group AG,Marktplatz 3,4020,Linz,Heartstart FRx,Südbahnhofmarkt Honeder außen,48.30097100000000,14.30045800000000,48.30097100000000,14.30045800000000,plausibel
defi_83478230b9e7f4d4e820,Pappas Automobilvertriebs GmbH,Mayrhoferstraße 36,4030,Linz,Lifepak CR+,Information,48.23839000000000,14.28285000000000,48.23839000000000,14.28285000000000,plausibel
defi_f288240b40394e651f42,WAG Wohnungsanlagen GmbH,Mörikeweg 6,4026,Linz,Heartstart FRx,"Eingang Empfang EG, Voranmeldung bei Hr. Maurer / Hr. Fuchsjäger",48.26823300000000,14.29470000000000,48.26823300000000,14.29470000000000,plausibel
defi_24ef3b0c9758d6adf119,Linz AG,Nebingerstraße 1,4020,Linz,Lifepak CR+,Fernheizkraftwerk Mitte (Warte),48.29924400000000,14.32373400000000,48.29924400000000,14.32373400000000,plausibel
