id,quell_id,name,katastralgemeinde,beschreibung,detail_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum,heutiger_strassenname,benennung_code,jahr_benennung,jahr_loeschung
strasse_historisch_1769,1769,Johann-Neander-Straße,Lustenau,"Von 1931 bis 1934 nach dem Mitbegründer der Sozialdemokratischen Partei Oberösterreichs Johann Neander, heute Helletzgruberstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1769&hist=historisch,Johann Neander,,,,,,,,,Helletzgruberstraße,M,1931,1934
strasse_historisch_1774,1774,Josef-Scheu-Straße,Urfahr und Pöstlingberg,"Von 1926 bis 1928 nach dem Komponisten Josef Scheu (1841-1904), heute Brennerstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1774&hist=historisch,Josef Scheu,Q1704602,,https://www.wikidata.org/wiki/Q1704602,Josef Scheu,male,composer,1841-09-15,1904-10-12,Brennerstraße,M,1926,1928
strasse_historisch_1777,1777,Jungbauerngasse,Linz,"Seit 1771 nach dem alten Jungbauern- oder Judenbauernhof, seit 1869 Teil der Mariahilfgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1777&hist=historisch,,,,,,,,,,Mariahilfgasse,X,1771,1869
strasse_historisch_3460,3460,Kaiser-Friedrich-Platz,Linz,"Benannt 1903 nach Kaiser Friedrich III. (1415-1493). Geplanter Platz an der Kreuzung Museumstraße - Ringstraße (heute Bereich zwischen Stelzerstraße - Gruberstraße - Kaplanhofstraße). 1921 Umbenennung in Friedrich-Engels-Platz, läuft 1934 aus, da der Platz nie bestanden hat.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=3460&hist=historisch,Kaiser Friedrich III.,Q150966,,https://www.wikidata.org/wiki/Q150966,"Frederick III, Holy Roman Emperor",male,ruler,1415-09-21,1493-08-19,,M,1903,1921
strasse_historisch_1979,1979,Kaiserin-Elisabeth-Kai,Linz,"Von 1900 bis 1921 nach Kaiserin Elisabeth (1837-1898), heute Untere Donaulände",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1979&hist=historisch,Kaiser Joseph II.,Q76555,,https://www.wikidata.org/wiki/Q76555,"Joseph II, Holy Roman Emperor",male,military leader,1741-03-13,1790-02-20,Lustenauer Straße,M,1869,1921
strasse_historisch_1980,1980,Kaiserin-Maria-Theresia-Straße,Linz,"Von 1876 bis 1921 nach Kaiserin Maria Theresia (1717-1780), heute Beethovenstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1980&hist=historisch,Kaiser Wilhelm II.,Q2677,,https://www.wikidata.org/wiki/Q2677,Wilhelm II,male,statesperson,1859-01-27,1941-06-04,Hessenplatz,M,1914,1921
strasse_historisch_1981,1981,Kaiser-Josef-Straße,Linz,"Von 1869 bis 1921 nach Kaiser Joseph II. (1741-1790), heute Lustenauer Straße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1981&hist=historisch,Kaiserin Elisabeth,Q150782,,https://www.wikidata.org/wiki/Q150782,Empress Elisabeth of Austria,female,monarch,1837-12-24,1898-09-10,Untere Donaulände,W,1900,1921
strasse_historisch_1978,1978,Kaiserplatz,Urfahr,Von 1910 bis 1921 Bezeichnung für den heutigen Hinsenkampplatz,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1978&hist=historisch,Kaiserin Maria Theresia,Q131706,,https://www.wikidata.org/wiki/Q131706,Maria Theresa of Austria,female,aristocrat,1717-05-13,1780-11-29,Beethovenstraße,W,1876,1921
strasse_historisch_1982,1982,Kaiser-Wilhelm-Platz,Linz,"Von 1914 bis 1921 nach dem deutschen Kaiser Wilhelm II. (1859-1941), heute Hessenplatz.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1982&hist=historisch,,,,,,,,,,Hinsenkampplatz,X,1910,1921
strasse_historisch_1986,1986,Kalvarienwände (Calvariwänd),Linz,Im 18. Jahrhundert Bezeichnung für die heutige Obere Donaulände,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1986&hist=historisch,,,,,,,,,,Obere Donaulände,X,18. Jhdt,
