id,quell_id,name,katastralgemeinde,beschreibung,detail_url,strasse_wikidata_id,strasse_wikidata_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum
strasse_2551,2551,Mühlbachstraße,Katzbach,Beim Objekt Leonfeldner Straße 243 etwa in nordnordwestlicher Richtung verlaufende Sackgasse. Benannt 1939 nach dem dortigen Mühlbach.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2551,,,,,,,,,,,
strasse_2552,2552,Mühlkreisbahnstraße,Urfahr,Nach dem Objekt Rudolfstraße 18 etwa in nordwestlicher Richtung zur Kaarstraße verlaufend. Benannt 1889 nach der Mühlkreisbahn. - Vorher Gemeindehausgasse nach der Lage am Urfahrer Rathaus.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2552,,,,,,,,,,,
strasse_2553,2553,Mühlweg,Kleinmünchen,Nach dem Objekt Dauphinestraße 73 etwa in südsüdöstlicher Richtung zum Flötzerweg verlaufend. Benannt 1944 nach einer alten Flurbezeichnung.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2553,,,,,,,,,,,
strasse_2556,2556,Muldenstraße,Waldegg,"Gegenüber dem Objekt Wiener Straße 181 in mehreren S-förmigen Krümmungen vorerst etwa in südwestlicher, dann in westlicher Richtung zum Straßenzug Am Bindermichl verlaufend. Benannt 1945 nach der Geländemulde, in der die Straße verläuft.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2556,,,,,,,,,,,
strasse_2554,2554,Müller-Guttenbrunn-Straße,"Waldegg, Kleinmünchen",Nach dem Objekt Glimpfingerstraße 99 etwa in südsüdöstlicher Richtung zur Salzburger Straße verlaufend. Benannt 1953 nach dem donauschwäbischen Dichter Adam Müller-Guttenbrunn (1852-1923).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2554,,,Adam Müller-Guttenbrunn,Q79061,,https://www.wikidata.org/wiki/Q79061,Adam Müller-Guttenbrunn,male,politician,1852-10-22,1923-01-05
strasse_2557,2557,Munschgasse,Kleinmünchen,Von der Höniggasse etwa in südsüdöstlicher Richtung zur Brunnenfeldstraße verlaufend. Benannt 1958 nach dem Linzer Kunstmaler Josef Munsch (1832-1896). - 1934 Schossergasse nach dem Mundartdichter Anton Schosser (1801-1849).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2557,,,Josef Munsch,Q21464258,,https://www.wikidata.org/wiki/Q21464258,Josef Munsch,male,history painter,1832-10-04,1896-02-28
strasse_2558,2558,Museumstraße,Linz,Nach dem Objekt Graben 9 etwa in ostnordöstlicher Richtung zur Huemerstraße verlaufend. Benannt 1889 nach dem Museum Francisco-Carolinum (eröffnet 1895). - Der Teil vom Graben bis zum Haus Museumstraße 11 hieß schon im 15. Jahrhundert und noch bis 1869 Welsergäßchen. Im 18. Jahrhundert Obere Lederergasse. Vor 1889 Teil der Kaplanhofstraße.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2558,Q106686177,https://www.wikidata.org/wiki/Q106686177,,,,,,,,,
strasse_2559,2559,Musilweg,Ebelsberg,Von der Ennsfeldstraße etwa in nordnordwestlicher Richtung zum Kafkaweg verlaufend. Benannt 1993 nach dem Schriftsteller Robert Musil (1880-1942).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2559,,,Robert Musil,Q78487,,https://www.wikidata.org/wiki/Q78487,Robert Musil,male,writer,1880-11-06,1942-04-15
strasse_2561,2561,Naturfreundeweg,Urfahr,"Auf der Kammkrone des Hochwasserschutzdammes auf der nördlichen Donauseite von der Eisenbahnbrücke bis zur Stadtgrenze zu Steyregg verlaufend. Benannt 1998 nach dem Touristenverein ""Die Naturfreunde"".",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2561,,,,,,,,,,,
strasse_3479,3479,Nauheimerstraße,Waldegg,"Von der Reisetbauerstraße mit einer Unterbrechung etwa in nordwestlicher Richtung zur Leondinger Straße verlaufend. Benannt 2023 nach Stefanie Nauheimer (1868-1946), Frauenrechtlerin und Lehrervertreterin. 1957-2023 Pfitznerstraße nach dem Komponisten Hans Pfitzner (1869-1949).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3479,,,Stefanie Nauheimer,Q1659479,,https://www.wikidata.org/wiki/Q1659479,Stefanie Nauheimer,female,teacher,1868-11-18,1946-04-29
strasse_2562,2562,Nebingerstraße,Lustenau,"Vom Ende der Industriezeile etwa in östlicher Richtung verlaufende Sackgasse. Benannt 1967 nach dem Großkaufmann, Vizepräsidenten der Handelskammer und Gemeinderat Carl Friedrich Nebinger (1813-1882).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2562,,,Carl Friedrich Nebinger,,,,,,,,
strasse_2563,2563,Negrelliweg,Kleinmünchen,"Vor dem Objekt In der Auerpeint 7 etwa in südsüdöstlicher Richtung zum Flötzerweg verlaufend. Benannt 1943 nach dem Vorkämpfer für den Bau des Suezkanals, dem Verkehrstechniker Alois Negrelli Ritter von Moldelbe (1799-1858).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2563,,,Alois Negrelli Ritter von Moldelbe,Q78836,,https://www.wikidata.org/wiki/Q78836,Alois Negrelli von Moldelbe,male,engineer,1799-01-23,1858-10-01
